,N°,L,H,rect,≠
313,30.003.03,,,40x10,
314,30.003.04,,,40x10,
315,30.008,3000,100,40x8,
316,30.008.00,6000,,40x8,
317,30.010,3000,,40x8,
318,30.010.01,350,,40x8,
319,30.100,3000,,20x5,
320,30.101,3000,,25x5,
321,30.101.00,6000,,25x5,
322,,3000,,30x5,
323,30.102,6000,,30x5,
324,30.102.00,,,,
325,,,,,
326,30.103,3000,100,40x8,
327,30.103.01,6000,,40x8,
328,,350,,,
329,,680,,,
330,30.105,,,40x5,
331,30.105.00,,,40x5,
332,,,,40x5,
333,30.105.01,,,40x5,
334,30.105.02,,,,
335,30.113,3000,100,40x5,
336,30.113.01,350,,40x5,
337,30.113.04,400,,40x5,
338,30.123,,,40x8,
339,30.111,3000,100,40x5,
340,30.111.00,6000,100,40x5,
341,,350,,40x5,
342,30.111.01,3000,,40x5,
343,30.114,400,,40x5,
344,30.114.01,,,,
345,30.115,3000,,40x5,
346,N°,L,,□,
347,30.200,3000,,12x6,
348,30.202,3000,,20x10,
349,30.125,,,40x8,
350,,,,,
351,30.220,3000,,16x8,
352,N°,L,,□,
353,31.101,3000,,25x8,
354,31.101.00,6000,,25x8,
355,31.102,,,30x8,
356,31.102.00,,,30x8,
357,31.103,,,40x8,
358,31.103.00,,,40x8,
359,31.300.01,3000,,14x4,
360,31.350,2000,,"18x1,5",
361,31.400,3000,,14x3,
362,31.402,3000,,20x4,
363,31.403,3000,,14x4,
364,31.404,3000,,14x4,
365,31.300.01M1,1000,,14x4,
366,31.350M1,1000,,"18x1,5",
367,31.400M1,1000,,14x3,
368,31.402M1,1000,,20x4,
369,31.403M1,1000,,14x4,
370,31.404M1,1000,,14x4,
371,31.300.12,,,12x12,14x4
372,31.300.24,,,24x12,14x4
373,31.350.12,,,12x12,"18x1,5"
374,31.350.24,,,24x12,"18x1,5"
375,31.400.12,,,12x12,14x3
376,31.400.24,,,24x12,14x3
377,30.020,3000,,48x20,"1,5"
378,30.020.01,3000,,48x20,"1,5"
379,30.020.02,3000,,48x20,"1,5"
380,30.021,3000,,62x30,"1,5"
381,30.021.01,3000,,62x30,"1,5"
382,30.021.02,3000,,60x32,"1,5"
383,30.022,3000,,54x54,"1,5"
384,30.022.01,3000,,54x54,"1,5"
385,30.022.02,3000,,54x54,"1,5"
386,N°,H,,,□
387,30.030,40,,,48x20
388,30.031,50,,,62x30
389,30.032,36,,,54x54
390,33.098,,2000,12x12,
391,33.099,,2000,12x12,
392,33.100,,2000,14x14,
393,33.201,,2000,12x6,
394,,,x,,
395,,,65,,
396,40.008,48,110,phi18,
397,40.011,45,100,phi12,
398,40.012,55,125,phi15,
399,40.013,110,140,phi14,
400,40.017,65,128,phi24,
401,40.018,70,140,phi25,
402,40.041,60,125,phi13,
403,40.045,53,130,phi13,
404,40.048,60,110,phi20,
405,40.048.01,43,76,phi16,
406,40.049,70,135,phi26,
407,40.050,70,130,phi20,
408,40.052,60,130,phi12,
409,40.052.02,60,130,phi12,
410,40.052.03,53,115,12X12,
411,40.053,70,155,phi17,
412,40.055,45,80,phi20,
413,40.056,65,125,phi25,
414,40.058,55,120,phi20,
415,40.059,65,135,phi25,
416,40.060,58,115,phi20,
417,40.060.01,40,82,phi16,
418,40.060.02,58,115,phi20,
419,40.061,70,140,phi26,
420,40.065,42,120,12x12,
421,40.066,47,140,14x14,
422,40.067,40,150,12x12,
423,40.068,43,180,14x14,
424,40.071,40,125,phi25,
425,40.071.01,30,95,phi20,
426,40.072,40,135,phi25,
427,40.072.01,33,98,phi20,
428,40.073,50,160,phi30,
429,40.077,60,125,phi32,
430,40.077.02,50,110,phi25,
431,40.078,60,135,15X15,
432,40.078.01,50,130,15X15,
433,40.078.02,43,120,12X12,
434,40.080,65,155,phi16,
435,40.081,65,160,phi16,
436,40.083,45,125,phi25,
437,40.088.01,20,100,20x20,
438,40.089,25,160,25x25,
439,40.092,30,125,20x20,
440,40.092.01,20,82,15x15,
441,40.093,40,160,32x32,
442,40.095,27,95,12x12,
443,40.096,40,125,phi18,
444,40.097,35,60,24x24,
445,40.097.30,30,60,24x24,
446,40.098.01,40,150,phi33,
447,40.098.02,35,120,phi30,
448,40.098.03,28,88,phi24,
449,40.099.01,67,120,25x25,
450,40.099.02,92,155,30x30,
451,40.099.03,117,200,40x40,
452,40.099.04,53,105,18x21,
453,40.100,90,160,phi16,
454,40.102,50,140,phi13,
455,40.102.01,50,110,14x14,
456,40.104,65,160,phi16,
457,40.106,80,145,15x15,
458,40.110,80,250,18x18,
459,40.111,75,290,26x26,
460,40.112,100,200,phi40,
461,40.112.01,73,120,phi16,
462,40.117,60,180,phi29,
463,40.118,65,205,phi35,
464,40.123,63,90,12x12,
465,40.125,90,135,20x20,
466,40.126,47,130,phi33,
467,40.133,30,150,12x12,
